id,gender,age,binges,totdrinks,tothours,0,0.25,0.5,1,1.5,2,2.5,3,4,5,6,7,8,9,10,15,20
1,Male,37,3,18,12,10,10,10,10,10,10,10,10,8,7,6,6,5,4,3,2,1
2,Male,64,0,14,28,5,5,5,5,5,5,5,4,3,2,1,1,0,0,0,0,0
3,Male,38,6,14,8,10,10,10,10,10,10,9,8,7,6,5,3,2,1,1,1,0
4,Male,54,1,11,11,6,6,6,6,6,5,5,3,3,2,2,2,1,1,1,1,0
5,Male,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Male,36,4,16,10,8,8,8,8,8,8,8,6,6,4,3,3,2,2,0,0,0
7,Male,25,0,0,0,5,5,5,5,5,3,3,3,2,2,2,1,1,1,1,0,0
8,Male,23,0,8,6,6,6,6,6,6,6,5,5,4,3,2,2,2,1,1,0,0
9,Male,24,1,20,19,2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
10,Male,45,3,16,16,8,8,8,8,8,8,8,6,5,3,2,2,1,0,0,0,0
11,Male,25,10,12,19,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0
12,Male,27,0,6,3,5,5,5,5,5,4,4,4,3,3,2,1,1,0,0,0,0
13,Male,35,2,6,4,5,5,5,5,5,5,4,4,3,2,1,1,0,0,0,0,0
14,Male,33,2,14,9,12,8,6,5,4,3,3,2,1,1,0,0,0,0,0,0,0
15,Male,21,1,4,4,8,6,6,6,6,6,6,6,4,4,0,0,0,0,0,0,0
16,Male,30,0,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0
17,Male,31,2,22,18,12,12,10,8,6,5,4,3,2,1,0,0,0,0,0,0,0
18,Male,24,3,12,10,12,12,10,10,10,8,8,7,6,5,4,3,3,2,2,1,0
19,Male,36,3,3,3,6,6,6,6,6,6,6,6,2,2,2,1,1,1,0,0,0
20,Male,28,6,12,13,12,11,10,9,8,8,8,8,8,7,7,6,5,4,1,0,0
21,Male,36,3,11,7,5,5,5,4,3,3,3,3,2,2,1,1,0,0,0,0,0
22,Male,25,0,0,0,50,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Male,39,1,14,9,12,11,10,9,8,7,7,6,6,5,5,4,4,3,2,1,0
24,Male,24,3,11,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Male,38,0,9,11,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0
26,Male,29,2,4,4,6,6,6,6,6,6,6,6,4,3,2,1,0,0,0,0,0
27,Male,34,0,5,9,4,4,4,4,4,3,3,2,2,2,1,1,1,1,0,0,0
28,Male,35,1,7,7,15,15,15,15,15,15,15,10,10,10,8,7,6,5,5,3,2
29,Male,28,2,10,10,5,5,5,5,4,4,3,3,2,2,1,1,1,0,0,0,0
30,Male,45,0,0,0,8,8,8,8,6,5,4,3,2,0,0,0,0,0,0,0,0
31,Male,26,5,42,24,12,12,12,12,10,10,8,6,6,5,4,4,3,3,2,1,0
32,Male,38,0,3,3,5,4,4,3,3,3,2,2,1,1,1,0,0,0,0,0,0
33,Male,28,8,12,8,8,8,8,8,8,8,6,6,5,4,6,2,2,1,0,0,0
34,Male,25,0,1,1,3,3,3,3,3,2,2,1,0,0,0,0,0,0,0,0,0
35,Male,26,0,0,0,5,5,5,3,3,2,2,2,1,1,0,0,0,0,0,0,0
36,Male,25,0,0,0,10,10,10,10,10,10,10,8,6,5,5,4,4,3,3,2,1
37,Male,23,0,3,3,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0
38,Male,64,0,2,2,5,5,5,5,4,4,4,3,2,2,1,1,1,1,1,1,1
39,Male,24,4,5,13,10,10,10,10,10,8,8,6,5,4,3,3,2,2,2,1,1
40,Male,32,0,18,11,6,5,5,5,4,4,3,3,2,1,0,0,0,0,0,0,0
41,Male,45,0,4,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Male,43,5,29,29,10,10,10,10,9,9,8,7,7,6,5,5,4,4,3,2,1
43,Male,27,0,6,6,8,8,8,8,7,7,7,6,5,4,3,3,2,2,2,1,1
44,Male,35,0,2,3,7,7,7,7,7,7,5,3,2,2,1,0,0,0,0,0,0
45,Male,47,2,14,7,6,6,6,6,6,6,5,5,5,5,4,4,4,3,3,2,1
46,Male,27,5,5,6,5,5,5,5,4,3,2,2,1,1,0,0,0,0,0,0,0
47,Male,41,15,30,11,10,10,10,10,10,10,8,8,6,4,4,4,3,2,1,1,1
48,Male,31,3,9,8,15,12,11,10,7,6,5,5,4,3,2,2,1,1,0,0,0
49,Male,18,0,5,3,4,4,4,4,3,2,2,2,2,2,0,0,0,0,0,0,0
50,Male,28,2,1,2,20,10,10,10,5,5,5,5,5,2,2,2,1,1,1,1,1
51,Male,21,4,10,6,5,5,5,5,5,5,5,5,5,5,5,4,0,0,0,0,0
52,Male,21,6,16,17,6,5,4,3,2,2,1,1,1,1,0,0,0,0,0,0,0
53,Male,23,0,0,0,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0
54,Male,36,1,4,3,7,7,7,7,7,7,7,7,5,5,4,4,4,4,4,0,0
55,Male,38,0,0,0,8,8,8,8,8,8,8,6,5,5,5,4,3,3,2,1,1
56,Male,70,0,6,9,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,1
57,Male,26,1,11,7,6,6,6,6,6,5,5,5,4,4,4,3,3,2,2,1,1
58,Male,27,0,8,11,4,4,4,4,4,4,4,4,4,3,3,2,2,2,1,1,1
59,Male,24,2,18,18,10,10,10,10,8,7,7,8,7,7,5,2,0,0,0,0,0
60,Male,74,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,1,1
61,Male,44,3,67,27,2,2,22,2,2,2,2,2,2,2,2,2,2,2,2,2,2
62,Male,34,0,3,2,6,6,6,6,6,6,6,6,5,5,4,4,4,3,3,2,2
63,Male,33,5,23,10,4,4,4,4,4,4,4,4,4,4,3,3,2,2,1,0,0
64,Male,31,0,3,5,8,8,8,8,8,7,7,6,5,5,5,5,5,4,4,4,3
65,Male,27,4,6,6,12,12,12,12,12,12,12,10,6,5,3,2,2,2,2,1,1
66,Male,22,1,6,3,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0
67,Male,31,1,4,5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
68,Male,35,0,21,14,10,9,8,7,6,5,5,5,5,3,2,1,0,0,0,0,0
69,Male,44,2,18,9,20,20,20,20,20,10,10,9,8,7,7,6,5,3,2,2,1
70,Male,34,0,4,3,12,12,12,12,10,8,8,6,5,4,3,3,2,1,1,0,0
71,Male,36,0,7,9,3,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0
72,Male,30,1,14,5,10,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
73,Male,31,2,15,9,5,5,5,5,5,5,5,5,5,4,4,3,3,2,2,1,1
74,Male,34,3,34,15,2,3,5,2,2,4,5,5,0,0,0,0,0,0,0,0,1
75,Male,29,4,18,17,3,5,2,7,4,2,9,7,2,6,9,2,6,2,5,2,7
76,Male,33,0,9,11,4,4,4,4,4,4,3,3,2,1,0,0,0,0,0,0,0
77,Male,25,2,17,9,5,5,3,3,3,2,2,2,2,2,1,2,2,0,0,0,0
78,Male,52,0,5,7,5,5,5,5,5,5,5,5,5,5,4,4,3,2,2,1,0
79,Male,30,5,13,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,2,2
80,Male,53,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Male,54,4,10,7,10,10,10,10,10,10,10,10,7,6,5,4,0,0,0,0,0
82,Male,28,1,4,3,20,18,17,14,12,10,8,7,6,5,4,4,3,3,2,1,1
83,Male,37,0,9,7,5,5,5,5,5,5,5,4,4,0,0,0,0,0,0,0,0
84,Male,25,5,17,8,10,10,10,10,10,5,5,5,5,3,3,2,2,2,1,1,1
85,Male,33,0,6,10,6,6,6,6,6,6,6,6,6,5,5,3,2,2,1,0,0
86,Male,28,1,2,9,5,5,5,5,5,5,4,4,3,3,2,2,2,1,1,0,0
87,Male,29,1,7,4,10,10,10,10,10,10,10,10,8,7,6,5,4,1,1,0,0
88,Male,28,0,0,0,10,10,10,10,10,10,10,8,7,6,4,2,1,1,1,1,1
89,Male,25,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
90,Male,23,0,1,3,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0
91,Male,27,0,0,0,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
92,Male,42,4,11,7,15,15,12,10,8,6,6,6,6,4,4,4,4,3,3,2,0
93,Male,29,0,9,12,5,5,4,3,3,3,3,2,2,2,2,1,1,1,0,0,0
94,Male,32,3,7,12,6,6,6,5,5,5,4,4,3,2,2,1,1,1,0,0,0
95,Male,26,5,17,10,25,15,15,12,10,10,8,8,8,8,8,5,5,4,4,0,0
96,Male,29,8,28,12,4,5,4,3,2,2,2,0,0,0,0,0,0,0,0,0,0
97,Male,28,3,5,4,10,10,10,10,8,6,5,5,5,2,2,2,1,1,0,0,0
98,Male,29,5,7,4,6,6,6,6,5,5,5,4,4,3,3,2,2,0,0,0,0
99,Male,39,0,8,12,6,6,6,6,6,5,5,4,4,4,0,0,0,0,0,0,0
100,Male,44,6,13,5,5,0,0,0,4,1,1,1,1,0,0,0,0,0,0,0,0
101,Male,22,3,6,4,3,3,3,3,3,3,2,2,1,0,0,0,0,0,0,0,0
102,Male,39,10,40,18,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0
103,Male,24,1,3,2,2,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0
104,Male,28,2,9,11,20,15,20,15,15,15,17,18,19,20,25,20,19,30,30,25,16
105,Male,41,0,4,5,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0
106,Male,44,12,18,9,10,10,10,10,10,10,10,8,7,6,5,4,3,2,1,0,0
107,Male,24,1,5,4,20,20,20,20,15,10,10,10,7,3,0,0,0,0,0,0,0
108,Male,27,5,16,21,4,4,4,4,4,4,4,3,3,2,1,1,1,1,0,0,0
109,Male,42,1,4,4,7,7,7,7,7,6,5,4,3,2,2,2,2,1,1,1,0
110,Male,39,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Male,21,0,6,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
112,Male,28,18,32,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
113,Male,48,0,9,12,15,12,9,8,7,5,4,3,3,3,3,3,2,2,1,0,0
114,Male,30,0,1,1,5,5,5,4,4,4,4,3,3,3,3,2,2,1,1,0,0
115,Male,25,3,8,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
116,Male,28,2,10,10,10,10,10,10,5,5,3,3,2,2,1,1,1,1,1,1,1
117,Male,21,8,15,15,8,8,8,8,8,8,8,8,7,7,6,6,5,5,3,2,1
118,Male,33,1,7,5,7,7,7,7,7,7,7,7,6,5,5,5,5,5,5,4,3
119,Male,28,2,10,6,11,11,11,11,9,9,8,6,5,5,3,3,2,2,0,0,0
120,Male,22,1,4,5,10,5,5,5,5,5,5,4,4,3,3,2,2,1,1,1,1
121,Male,21,2,14,11,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,2
122,Male,39,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Male,54,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Male,33,0,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,1
125,Male,30,1,6,9,5,5,5,4,4,4,4,4,3,2,2,2,1,1,1,0,0
126,Male,19,10,40,24,5,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0
127,Male,23,0,8,8,4,4,4,4,4,4,4,3,3,2,2,1,1,1,1,0,0
128,Male,70,1,4,6,8,8,8,8,8,8,8,8,6,6,5,4,4,4,3,2,1
129,Male,51,0,4,4,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0
130,Male,44,0,7,8,6,6,6,6,6,6,6,6,6,6,5,5,4,1,1,0,0
131,Male,33,1,5,3,2,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0
132,Male,50,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
133,Male,35,3,9,7,10,10,10,10,10,10,10,6,6,5,4,3,3,2,2,2,1
134,Male,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Male,26,3,8,4,12,12,10,10,8,7,5,4,3,2,2,1,1,0,0,0,0
136,Male,21,3,13,10,12,12,12,12,12,10,8,6,5,3,3,1,1,0,0,0,0
137,Male,38,2,7,4,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
138,Male,48,2,17,23,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
139,Male,39,2,8,5,8,8,8,8,8,8,8,6,4,1,0,0,0,0,0,0,0
140,Male,51,6,21,33,10,10,10,10,10,10,8,8,7,6,5,4,4,3,2,2,2
141,Male,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Male,51,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Male,25,2,10,8,0,0,0,10,0,5,0,0,2,0,0,0,0,0,0,0,0
144,Male,24,2,10,12,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
145,Male,38,0,0,0,20,18,18,18,16,14,12,10,8,6,4,0,0,0,0,0,0
146,Male,36,0,3,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
147,Male,25,4,27,22,24,15,10,9,7,6,5,5,2,2,0,0,0,0,0,0,0
148,Male,43,0,2,1,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0
149,Male,34,1,12,6,12,12,12,12,12,12,6,6,2,2,1,1,1,1,1,1,1
150,Male,26,6,14,10,10,10,10,10,10,10,10,8,5,5,5,5,3,2,2,1,1
151,Male,59,0,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Male,26,25,5,5,5,5,5,5,5,5,2,0,0,0,0,0,0,0,0,0,0
153,Male,28,3,12,11,6,6,6,6,6,6,6,5,5,0,0,0,0,0,0,0,0
154,Male,22,2,4,2,8,8,8,8,7,5,5,3,2,0,0,0,0,0,0,0,0
155,Male,22,0,0,0,5,5,5,4,4,3,3,2,2,1,1,0,0,0,0,0,0
156,Male,35,1,10,7,8,8,8,8,7,7,7,6,6,5,5,4,4,3,2,2,1
157,Male,34,0,2,5,10,10,10,8,8,5,5,5,3,2,2,2,2,2,2,2,2
158,Male,43,15,14,12,6,6,6,6,6,6,6,6,6,6,5,5,4,4,4,1,1
159,Male,29,5,16,10,7,7,7,7,7,7,6,6,5,5,4,3,2,2,2,1,0
160,Male,28,2,8,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
161,Male,43,8,18,18,5,4,3,3,3,2,2,2,2,2,2,1,0,0,0,0,0
162,Male,52,0,6,8,6,6,6,6,6,5,5,5,4,4,3,3,2,2,2,1,1
163,Male,40,4,13,14,7,7,7,7,7,7,7,7,7,7,5,5,3,3,2,1,1
164,Male,41,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,0
165,Male,21,1,3,5,6,6,6,6,6,6,6,5,5,4,3,2,2,2,2,1,1
166,Male,33,0,0,0,5,5,5,5,5,5,5,5,5,4,3,3,3,2,2,0,0
167,Male,26,5,31,30,2,3,2,2,2,3,4,5,6,2,2,3,6,4,5,3,3
168,Male,30,1,5,7,6,6,6,6,6,5,4,3,3,2,2,2,2,2,1,0,0
169,Male,37,20,22,56,10,10,8,5,4,3,2,2,0,0,0,0,0,0,0,0,0
170,Male,19,2,10,34,2,2,2,2,2,22,2,2,2,22,2,2,2,NA,2,2,2
171,Male,54,0,0,0,5,5,5,5,5,5,5,5,5,5,3,3,2,1,1,0,0
172,Male,37,1,13,6,12,12,10,10,10,10,10,9,6,5,5,3,3,2,2,2,1
173,Male,46,0,0,0,5,5,5,5,4,3,3,3,2,2,0,0,0,0,0,0,0
174,Male,30,1,6,13,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Male,47,0,4,4,7,7,7,6,5,5,5,5,4,4,3,3,2,2,2,0,0
176,Male,28,2,16,12,5,7,5,5,5,4,2,1,1,1,1,1,1,1,1,0,0
177,Male,28,3,6,4,7,7,7,7,7,7,5,5,4,4,4,4,2,1,1,0,0
178,Male,22,4,21,15,5,4,6,8,8,6,6,5,3,2,0,0,0,0,0,0,0
179,Male,26,2,14,10,10,10,10,10,8,6,5,4,3,2,2,2,2,1,1,1,1
180,Male,36,0,4,4,5,5,5,5,5,5,5,5,4,4,3,3,3,2,2,0,0
181,Male,25,5,18,16,10,10,10,5,4,3,3,3,1,1,0,0,0,0,0,0,0
182,Male,22,0,7,8,6,6,6,6,6,6,6,5,4,4,3,3,2,2,1,0,0
183,Male,32,0,12,11,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,1,1
184,Male,27,0,4,6,1,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
185,Male,44,0,0,0,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0
186,Male,47,1,7,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
187,Male,33,13,28,12,12,12,12,12,10,8,6,5,3,2,2,2,1,1,1,0,0
188,Male,32,3,13,12,5,5,5,5,5,5,5,5,5,5,4,3,3,2,2,2,1
189,Male,18,2,5,1,7,7,6,4,2,2,1,0,0,0,0,0,0,0,0,0,0
190,Male,63,0,7,9,3,3,3,3,3,2,2,2,1,1,1,1,1,0,0,0,0
191,Male,45,4,30,7,30,30,30,30,30,30,30,30,30,20,20,15,15,12,12,10,5
192,Male,51,8,14,17,5,5,5,5,5,5,5,4,4,3,3,2,2,1,0,0,0
193,Male,24,2,9,6,2,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0
194,Male,29,0,0,0,3,3,3,3,3,3,3,2,2,1,1,1,1,0,0,0,0
195,Male,30,0,2,2,3,3,3,3,3,2,2,2,1,1,1,1,1,1,0,0,0
196,Male,26,0,2,1,5,5,5,5,5,5,5,4,3,2,2,1,1,1,1,0,0
197,Male,21,1,6,5,20,18,15,14,12,10,10,8,7,7,6,5,4,4,3,1,1
198,Male,52,0,1,1,10,10,10,10,10,10,10,10,7,6,5,4,3,3,3,2,1
199,Male,30,10,12,6,20,20,20,10,10,10,8,8,8,4,3,2,1,0,0,0,0
200,Male,43,1,11,8,7,7,7,7,7,7,7,5,5,5,5,5,5,4,3,0,0
201,Male,31,15,42,23,14,12,10,10,9,8,8,6,5,4,3,2,1,1,0,0,0
202,Male,34,6,6,5,21,21,21,21,15,10,8,6,4,4,3,2,2,0,0,0,0
203,Male,55,0,0,0,5,5,5,5,4,4,3,3,2,2,1,1,0,0,0,0,0
204,Male,32,2,20,10,20,20,20,20,15,15,10,5,4,4,4,4,0,0,0,0,0
205,Male,31,2,34,15,15,12,11,10,9,8,8,7,7,6,6,6,4,4,3,1,1
206,Male,58,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,Male,38,2,6,3,6,6,6,6,6,6,6,6,6,6,5,5,4,4,3,0,0
208,Male,41,1,8,8,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,2,1
209,Male,31,2,18,36,10,10,10,10,10,10,10,10,8,7,6,6,5,4,3,2,2
210,Male,38,12,27,9,12,12,10,10,10,10,8,7,6,5,5,3,2,1,1,1,0
211,Male,42,1,6,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
212,Male,57,4,16,6,7,7,7,7,7,7,7,7,6,6,6,5,5,5,4,4,4
213,Male,56,1,6,4,6,6,6,6,6,6,6,5,4,4,3,3,2,1,1,0,0
214,Male,56,1,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0
215,Male,53,0,0,0,5,5,5,3,3,2,2,1,0,0,0,0,0,0,0,0,0
216,Male,37,3,12,10,10,10,10,10,8,8,7,7,6,5,5,4,4,3,3,0,0
217,Male,73,0,8,1.4,5,5,5,5,5,5,5,5,5,3,3,3,3,3,2,2,2
218,Male,31,1,2,3,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
219,Male,22,0,2,1,5,5,5,5,5,5,5,5,5,5,3,2,2,1,1,1,0
220,Male,71,1,8,5,8,8,8,8,8,5,0,0,0,0,0,0,0,0,0,0,0
221,Male,24,0,0,0,3,3,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0
222,Male,39,3,10,13,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
223,Male,44,1,2,1,5,5,5,5,5,5,5,5,4,3,2,0,0,0,0,0,0
224,Male,59,0,0,0,8,6,6,6,6,6,5,5,5,0,0,0,0,0,0,0,0
225,Male,34,4,5,4,10,10,10,10,10,9,8,6,6,5,5,4,3,1,1,0,0
226,Male,40,12,24,11,10,10,10,10,10,10,9,8,6,5,5,4,3,0,0,0,0
227,Male,26,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
228,Male,32,1,7,7,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0
229,Male,31,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,Male,48,0,7,7,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0
231,Male,36,0,3,3,5,5,5,5,5,5,5,5,5,4,3,3,3,2,2,2,1
232,Male,23,8,46,27,2,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0
233,Male,21,16,40,27,15,15,14,6,4,3,2,1,0,0,0,0,0,0,0,0,0
234,Male,30,0,0,0,3,3,3,3,5,4,3,2,1,1,0,0,0,0,0,0,0
235,Male,30,6,26,17,12,12,12,12,10,10,9,9,5,5,5,4,4,4,3,2,1
236,Male,34,2,12,6,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
237,Male,36,28,61,26,15,15,15,15,14,12,10,8,6,5,4,3,3,2,0,0,0
238,Male,35,0,6,8,4,4,4,4,3,3,2,2,1,1,0,0,0,0,0,0,0
239,Male,42,25,45,38,15,15,15,15,15,15,12,12,10,5,5,4,3,0,0,0,0
240,Male,29,2,7,10,0,1,0,2,1,3,2,1,0,0,0,0,0,3,4,5,6
241,Male,30,0,3,3,6,6,6,6,5,5,5,4,3,3,2,1,0,0,0,0,0
242,Male,63,0,2,2,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
243,Male,27,0,4,8,4,4,4,4,4,3,2,2,2,0,0,0,0,0,0,0,0
244,Male,31,0,4,4,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0
245,Male,26,2,7,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
246,Male,55,0,2,4,6,6,6,6,6,6,5,5,5,4,3,2,2,2,2,1,1
247,Male,36,2,5,4,6,6,6,6,6,6,6,6,5,5,3,3,2,1,1,0,0
248,Male,30,14,54,54,16,16,16,15,12,12,10,8,8,6,4,4,2,2,0,0,0
249,Male,38,0,0,0,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
250,Male,20,10,9,5,10,5,4,4,3,2,1,0,0,0,0,0,0,0,0,0,0
251,Male,41,2,10,4,10,10,10,8,8,8,8,7,7,7,6,6,5,5,5,0,0
252,Male,59,0,16,13,4,4,4,4,4,4,4,3,3,2,2,1,1,1,1,0,0
253,Male,24,0,3,1,3,3,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0
254,Male,27,3,12,9,30,25,25,20,15,10,10,9,8,7,6,5,4,3,2,1,1
255,Male,45,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
256,Male,39,5,20,13,8,8,8,6,6,5,5,4,3,3,3,2,2,1,1,1,0
257,Male,23,9,24,18,12,12,12,8,8,8,6,6,4,3,2,2,0,0,0,0,0
258,Male,29,0,2,2,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,1,1
259,Male,33,1,9,7,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1
260,Male,28,8,20,10,10,10,10,10,10,10,8,6,5,4,2,2,1,1,1,0,0
261,Male,24,0,0,0,10,8,8,8,8,8,5,5,4,3,2,2,2,1,1,1,1
262,Male,36,1,8,14,5,5,5,5,5,5,3,3,3,2,2,2,1,1,1,0,0
263,Male,28,2,12,5,10,10,10,10,10,10,10,10,10,10,8,8,7,6,5,4,2
264,Male,26,20,40,41,10,10,10,10,10,10,10,10,8,5,5,5,4,4,3,2,0
265,Male,30,2,17,26,6,6,6,6,6,6,6,6,6,5,4,4,3,1,0,0,0
266,Male,27,4,15,15,1,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0
267,Male,56,0,3,2,7,7,7,7,7,7,5,5,5,4,3,3,3,2,2,1,1
268,Male,26,2,8,6,6,5,5,5,5,5,5,5,5,2,2,1,1,0,0,0,0
269,Male,34,1,6,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0
270,Male,27,1,10,10,8,8,8,8,8,8,8,7,6,5,4,4,3,2,2,1,1
271,Male,22,0,6,5,10,7,7,7,7,6,6,5,5,5,5,5,5,5,4,2,1
272,Male,27,4,4,2,10,10,10,10,10,8,8,6,5,4,2,2,1,1,1,1,1
273,Male,25,0,14,14,6,6,6,6,6,6,6,6,6,5,4,3,3,2,2,1,1
274,Male,24,4,12,14,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,2
275,Male,27,3,11,7,1,0,0,0,0,2,2,2,1,1,0,0,0,0,0,0,0
276,Male,27,16,20,8,5,5,5,5,5,5,5,5,5,5,4,3,0,0,0,0,0
277,Male,25,0,3,5,3,3,3,3,3,3,3,3,2,2,2,1,1,1,0,0,0
278,Male,21,8,12,19,8,8,8,8,8,6,6,5,4,3,3,2,2,2,1,0,0
279,Male,44,8,30,15,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
